map_name,config_idx,revisit_penalty_scout,revisit_penalty_drone,pessimistic_default,zig_lookahead,zig_width,score
map_001_seed1,1,10.0,10.0,0.05,6.0,10.0,38917.018535686024
map_001_seed1,2,15.0,15.0,0.05,4.0,6.0,331935.15120919934
map_001_seed1,3,5.0,5.0,0.01,8.0,14.0,439300.60355970747
map_001_seed1,4,10.0,10.0,0.1,6.0,10.0,224611.98316044392
map_002_seed2,1,10.0,10.0,0.05,6.0,10.0,173879.53119304008
map_002_seed2,2,15.0,15.0,0.05,4.0,6.0,444577.8291295193
map_002_seed2,3,5.0,5.0,0.01,8.0,14.0,157319.59590714538
map_002_seed2,4,10.0,10.0,0.1,6.0,10.0,191479.13835611928
map_003_seed3,1,10.0,10.0,0.05,6.0,10.0,119928.53547836033
map_003_seed3,2,15.0,15.0,0.05,4.0,6.0,292600.66305663466
map_003_seed3,3,5.0,5.0,0.01,8.0,14.0,266957.3576321973
map_003_seed3,4,10.0,10.0,0.1,6.0,10.0,218147.466462039
